airline,overall,aircraft,traveller_type,cabin,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,sentiment,Departure,Arrival,year_flown,month_flown
Turkish Airlines,10.0,A330,Solo Leisure,Economy Class,4.0,5.0,5.0,5.0,5.0,5.0,1,washington dulles,karachi,2019,April
Turkish Airlines,2.0,Boeing 737-800 / A330-300,Solo Leisure,Economy Class,3.0,3.0,2.0,3.0,1.0,2.0,-1,basel,cape town ,2019,April
Turkish Airlines,6.0,A320 / Boeing 737,Solo Leisure,Economy Class,2.0,3.0,3.0,3.0,3.0,3.0,1,abu dhabi,luxembourg ,2019,April
Turkish Airlines,1.0,A320 / A330,Solo Leisure,Economy Class,1.0,1.0,1.0,1.0,1.0,1.0,-1,venice,boston ,2019,February
Turkish Airlines,2.0,Boeing 777-300,Solo Leisure,Economy Class,1.0,3.0,2.0,2.0,1.0,1.0,1,houston,kiev ,2019,March
Turkish Airlines,5.0,Boeing 737-800,Solo Leisure,Economy Class,2.0,2.0,3.0,1.0,2.0,3.0,-1,nakhchivan,istanbul,2019,April
Turkish Airlines,7.0,Boeing 777-300ER,Solo Leisure,Economy Class,4.0,3.0,3.0,3.0,4.0,4.0,-1,london heathrow,istanbul,2019,April
Turkish Airlines,8.0,Boeing 777,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,5.0,5.0,1,izmir,istanbul,2019,April
Turkish Airlines,10.0,A330,Couple Leisure,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,1,montreal,bucharest ,2019,April
Turkish Airlines,9.0,A330,Solo Leisure,Economy Class,4.0,5.0,4.0,4.0,4.0,5.0,1,istanbul,manchester,2019,April
Turkish Airlines,6.0,Boeing 777-300,Business,Economy Class,4.0,3.0,4.0,5.0,5.0,4.0,-1,singapore,ä°stanbul,2019,March
Turkish Airlines,1.0,Boeing 777-300ER,Solo Leisure,Business Class,4.0,1.0,1.0,3.0,1.0,1.0,-1,istanbul,chicago,2019,March
Turkish Airlines,1.0,Boeing 737-800,Couple Leisure,Economy Class,2.0,1.0,1.0,3.0,2.0,2.0,-1,hurghada,moscow ,2018,April
Turkish Airlines,6.0,Boeing 777-300ER,Family Leisure,Economy Class,4.0,3.0,3.0,5.0,3.0,4.0,-1,manila,istanbul,2019,January
Turkish Airlines,1.0,A340 / Boeing 737,Solo Leisure,Business Class,2.0,1.0,1.0,2.0,2.0,1.0,1,dhaka,copenhagen ,2019,February
Turkish Airlines,1.0,A330,Business,Economy Class,1.0,1.0,2.0,1.0,1.0,2.0,1,hanoi,milano ,2019,March
Turkish Airlines,4.0,A330-300,Solo Leisure,Economy Class,2.0,3.0,5.0,4.0,2.0,3.0,1,phuket,dã¼sseldorf ,2019,March
Turkish Airlines,8.0,A330-300,Couple Leisure,Economy Class,2.0,4.0,5.0,5.0,5.0,4.0,1,amsterdam,istanbul,2019,February
Turkish Airlines,9.0,Boeing 737-800,Couple Leisure,Economy Class,3.0,5.0,5.0,5.0,5.0,5.0,1,istanbul,ankara,2019,February
Turkish Airlines,8.0,Boeing 737-8M,Solo Leisure,Economy Class,4.0,4.0,4.0,5.0,4.0,5.0,1,lyon,istanbul,2019,February
Turkish Airlines,4.0,Boeing 777 300ER,Solo Leisure,Business Class,3.0,3.0,1.0,3.0,1.0,2.0,-1,dublin,manila ,2019,February
Turkish Airlines,1.0,Boeing 737-800 / A330-300,Couple Leisure,Economy Class,2.0,2.0,1.0,2.0,1.0,1.0,-1,malaga,cape town ,2019,January
Turkish Airlines,4.0,A330 / A321,Business,Business Class,4.0,1.0,3.0,3.0,1.0,1.0,-1,montreal,berlin ,2019,February
Turkish Airlines,8.0,A330-200,Couple Leisure,Economy Class,4.0,5.0,5.0,4.0,3.0,5.0,1,athens,havana ,2019,February
Turkish Airlines,7.0,A330,Couple Leisure,Economy Class,4.0,4.0,2.0,1.0,5.0,3.0,1,sharm el sheikh,frankfurt ,2019,February
Turkish Airlines,10.0,A330 / A321,Solo Leisure,Economy Class,5.0,5.0,5.0,5.0,4.0,5.0,1,tel aviv,brussels ,2019,January
Turkish Airlines,7.0,A320,Business,Economy Class,3.0,5.0,5.0,4.0,5.0,4.0,1,baku,istanbul,2019,January
Turkish Airlines,1.0,Boeing 777-300ER,Business,Business Class,3.0,1.0,1.0,2.0,4.0,1.0,-1,sao paulo,istanbul,2019,January
Turkish Airlines,8.0,A330-300,Business,Economy Class,4.0,4.0,4.0,4.0,4.0,4.0,1,ä°stanbul,frankfurt,2019,January
Turkish Airlines,10.0,A330-300,Business,Business Class,4.0,5.0,5.0,5.0,5.0,5.0,1,boston,amsterdam ,2019,January
Turkish Airlines,8.0,Boeing 737,Business,Economy Class,3.0,4.0,4.0,2.0,4.0,4.0,1,london,istanbul,2018,November
